Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Briargate Center Business Improvement District,bcbid.specialdistrict.org,"1660 Lincoln Street, Suite 3000",,Denver,CO,80264,65066,Business Improvement Districts,El Paso
Briargate Special Improvement Maintenance District,coloradosprings.gov,PO Box 1575,c/o City Colo.Sprngs,Colorado Springs,CO,80901,21059,Special Taxing Districts of Home Rule Municipality,El Paso
Brickyard Metropolitan District No. 1,www.brickyardmetrodistricts.org,"2001 16th Street, Ste. 1700 ","c/o CliftonLarsonAllen, LLP",Denver,CO,80202,68161,Metropolitan Districts,Douglas
Brickyard Metropolitan District No. 2,www.brickyardmetrodistricts.org,"2001 16th Street, Ste. 1700","c/o CliftonLarsonAllen, LLP",Denver,CO,80202,68162,Metropolitan Districts,Douglas
Brickyard Metropolitan District No. 3,www.brickyardmetrodistricts.org,"2001 16th Street, Ste. 1700 ","c/o CliftonLarsonAllen, LLP",Denver,CO,80202,68163,Metropolitan Districts,Douglas
Bridle Creek Metropolitan District No. 1,bridlecreekmd1.com,1555 California Street No. 505,c/o Miller Law pllc,Denver,CO,80202,67242,Metropolitan Districts,Weld
Briggsdale Fire Protection District,briggsdalefire.org,PO Box 1,,Briggsdale,CO,80611,62087,Fire Protection Districts,Weld
Briggsdale RE-10 School District,www.briggsdaleschool.org/,PO Box 125,,Briggsdale,CO,80611,64953,School Districts,"Weld, Morgan"
Brighton 27J School District,www.brightonps27j.k12.co.us,18551 East 160th Avenue,,Brighton,CO,80601,64901,School Districts,"Broomfield, Denver, Weld, Adams"
Brighton Crossing Metropolitan District No. 4,www.brightoncrossingsmd.live,550 W Eisenhower Blvd,,Loveland,CO,80537,01041,Metropolitan Districts,Adams
Brighton Crossing Metropolitan District No. 5,www.brightoncrossingsmd.live,550 W. Eisenhower Boulevard,c/o Pinnacle Consulting,Loveland,CO,80537,67005,Metropolitan Districts,Adams
Brighton Crossing Metropolitan District No. 6,www.brightoncrossingsmd.live,550 W. Eisenhower Boulevard,c/o Pinnacle Consulting,Loveland,CO,80537,67006,Metropolitan Districts,Adams
Brighton Crossing Metropolitan District No. 7,www.brightoncrossingsmd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,67007,Metropolitan Districts,Adams
Brighton Crossing Metropolitan District No. 8,www.brightoncrossingsmd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,67008,Metropolitan Districts,Adams
Brighton Crossings Operations Board,www.brightoncrossingsmd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67212,Intergovernmental Authorities (separate legal entity),Adams
Brighton Housing Authority,,22 South 4th Avenue,City Admin. Bldg.,Brighton,CO,80601,64167,Housing Authorities (Municipal),"Weld, Adams"
Brighton Ridge Metropolitan District No. 1,brightonridgemetrodistricts.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67513,Metropolitan Districts,Adams
Brighton Ridge Metropolitan District No. 2,brightonridgemetrodistricts.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67514,Metropolitan Districts,Adams
Brighton Urban Renewal Authority,,500 S 4th Avenue,,Brighton,CO,80601,01104,Urban Renewal Authorities,"Weld, Adams"
"Brighton, City of",brightonco.gov/,,500 South 4th Avenue,Brighton,CO,80504,64029,Home Rule Municipalities,"Weld, Adams"
Bristol Metropolitan District,bristolmetropolitandistrict.specialdistrict.org/,McGeady Becher Cortese Williams P.C.,"450 East 17th Avenue, Suite 400",Denver,CO,80203-1254,66760,Metropolitan Districts,Arapahoe
Bristol Water & Sanitation District,,203 N. LaBelle,,Bristol,CO,81047,50002,Water & Sanitation Districts,Prowers
Bristol-Granada Cemetery District,,PO Box 75,,Granada,CO,81041,50003,Cemetery Districts,Prowers
Britanie Ridge Metropolitan District,britanieridgemd.com,1555 California Street No. 505,c/o Miller Law pllc,Denver,CO,80202,65474,Metropolitan Districts,Elbert
Brittany Place Metropolitan District,www.crsofcolorado.com/brittany-place-md/,"7995 E. Prentice Ave., Suite 100","c/o Community Resource Services of Colorado, LLC",Greenwood Village,CO,80111,01052,Metropolitan Districts,Adams
Broadlands Metropolitan District No. 2,,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,01070,Metropolitan Districts,"Broomfield, Adams"
Broadmoor Fire Protection District,,750 El Pomar Road,,Colorado Springs,CO,80906,21003,Fire Protection Districts,El Paso
Broadway Denver General Improvement District,,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,68206,General Improvement Districts (Municipal),Denver
Broadway Park North Metropolitan District No. 1,broadwayparkmd.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1214,66283,Metropolitan Districts,Denver
Broadway Park North Metropolitan District No. 2,broadwayparkmd.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1214,66284,Metropolitan Districts,Denver
Broadway Park North Metropolitan District No. 3,broadwayparkmd.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher P.C.,Denver,CO,80203-1214,66285,Metropolitan Districts,Denver
Broadway Park South Metropolitan District No. 1,broadwayparkmd.specialdistrict.org/,"450 East 17th Avenue, Ste 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1214,66157,Metropolitan Districts,Denver
Broadway Park South Metropolitan District No. 2,broadwayparkmd.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,66912,Metropolitan Districts,Denver
Broadway Park South Metropolitan District No. 3,broadwayparkmd.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,66913,Metropolitan Districts,Denver
Broadway Park South Metropolitan District No. 4,broadwayparkmd.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher, P.C.",Denver,CO,80203-1254,66914,Metropolitan Districts,Denver
Broadway Station Metropolitan District No. 1,broadwaystationmds.com,"2001 16th Street, Ste. 1700 ",c/o CliftonLarsonAllen LLP,Denver,CO,80202,65573,Metropolitan Districts,Denver
Broadway Station Metropolitan District No. 2,broadwaystationmds.com,"2001 16th Street, Ste. 1700",c/o CliftonLarsonAllen LLP,Denver,CO,80202,65574,Metropolitan Districts,Denver
Broadway Station Metropolitan District No. 3,broadwaystationmds.com,"390 Union Boulevard, Ste 400","c/o Collins Cockrel & Cole, PC",Denver,CO,80228,65575,Metropolitan Districts,Denver
Bromley Park Metropolitan District No. 2,www.bromleyparkmd2.com,"2001 16th St, Suite 1700",c/o CliftonLarsonAllen LLP,Denver ,CO,80202,01039,Metropolitan Districts,"Weld, Adams"
Bromley Park Metropolitan District No. 3,cospecialdistricts.com/bromley-park-metropolitan-district-no-3,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,01040,Metropolitan Districts,Adams
Bromley Park Metropolitan District No. 5,cospecialdistricts.com/bromley-park-metropolitan-district-no-5,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,01090,Metropolitan Districts,Adams
Bromley Park Metropolitan District No. 6,cospecialdistricts.com/bromley-park-metropolitan-district-no-6,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,01091,Metropolitan Districts,"Weld, Adams"
Brook Forest Water District,www.brookforestwater.org,"9249 South Broadway, #200-344",,Highlands Ranch,CO,80129,30012,Water Districts,Jefferson
Brooklyn Metropolitan District,,PO Box 1914,,Leadville,CO,80461,65014,Metropolitan Districts,Lake
"Brookside, Town of",townofbrookside.colorado.gov,1720 Brookside Avenue,,Brookside,CO,81212,22001,Statutory Towns,Fremont
Broomfield City and County Housing Authority,,P.O. Box 1584,,Broomfield,CO,80038,65009,Housing Authorities (Municipal),Broomfield
Broomfield Town Square Business Improvement District,,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,68176,Business Improvement Districts,Broomfield
Broomfield Town Square Metropolitan District No. 1,broomfieldtownsquaremds.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,67429,Metropolitan Districts,Broomfield
Broomfield Town Square Metropolitan District No. 2,broomfieldtownsquaremds.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,67430,Metropolitan Districts,Broomfield
Broomfield Urban Renewal Authority,,1 Des Combes Drive,c/o City Of Broomfield,Broomfield,CO,80020,64184,Urban Renewal Authorities,"Broomfield, Boulder"
Broomfield Village Metropolitan District No. 2,broomfieldvillageflatironmarketplace.com,"2154 E. Commons Avenue, Ste 2000",c/o White Bear Ankele Tanka & Waldron,Centennial,CO,80122,07068,Metropolitan Districts,"Broomfield, Boulder"
"Broomfield, City and County of",www.broomfield.org/,One DesCombes Drive,,Broomfield,CO,80020-2495,64030,City & County Of Broomfield,"Broomfield, Boulder, Weld, Adams, Jefferson"
Brownsville Water & Sanitation District,brownsvillewsd.colorado.gov,"2595 Canyon Boulevard, Ste 300","c/o Moses, Wittemyer, Harrison and Woodruff, PC",Boulder,CO,80302-6744,07007,Water & Sanitation Districts,Boulder
Brush Creek Metropolitan District,brushcreekmetrodistrict.com,500 Juniper Hills Road,,Aspen,CO,81611-9629,49025,Metropolitan Districts,Pitkin
Brush Housing Authority,,PO Box 666,,Brush,CO,80723,44017,Housing Authorities (Municipal),Morgan
Brush RE-2(J) School District,www.brushschools.org,P O Box 585,,Brush,CO,80723,64938,School Districts,"Washington, Morgan"
Brush Rural Fire Protection District,www.brushcolo.com/dept/fire.htm,PO Box 873,,Brush,CO,80723,64031,Fire Protection Districts,"Washington, Morgan"
"Brush, City of",www.brushcolo.com/,PO Box 363,600 Edison Street,Brush,CO,80723,44001,Statutory Cities,Morgan
Buckhorn Valley Metropolitan District No. 1,bvmetrodistrict.specialdistrict.org/,"7995 E.Prentice Ave, Suite 103E",Buckhorn Valley Metro Districts,Greenwood Village,CO,80111,19069,Metropolitan Districts,Eagle
Buckhorn Valley Metropolitan District No. 2,www.buckhornvalleymetro2.org,12210 Brighton Rd #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,19070,Metropolitan Districts,Eagle
Buckley Crossing Metropolitan District,buckleycrossingmd.com,"3900 E. Mexico Ave, #300",,Denver,CO,80210,65245,Metropolitan Districts,Adams
Buckley Crossing Metropolitan District No. 2,buckleycrossingmd2.com,"3900 East Mexico Avenue, Suite 300","c/o Fritsche Law, LLC",Denver,CO,80210,67500,Metropolitan Districts,Adams
Buckley Metropolitan District No. 1,buckleymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67324,Metropolitan Districts,Arapahoe
Buckley Metropolitan District No. 2,buckleymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67325,Metropolitan Districts,Arapahoe
Buckley Metropolitan District No. 3,buckleymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67326,Metropolitan Districts,Arapahoe
Buckley Metropolitan District No. 4,buckleymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67327,Metropolitan Districts,Arapahoe
Buckley Ranch Metropolitan District,www.buckleyranchmetro.org/,12210 Brighton Rd #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,65186,Metropolitan Districts,Adams
Buckley Yard Metropolitan District No. 2,buckleyyardmd.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67558,Metropolitan Districts,Arapahoe
Buckley Yard Metropolitan District No. 2 Sub District,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,68000,Subdistrict of Special District,Arapahoe
Buena Vista R-31 School District,www.bvschools.org,PO Box 2027,,Buena Vista,CO,81211,08900,School Districts,Chaffee
Buena Vista Sanitation District,buenavistasanitationdistrict.com,PO Box 3069,,Buena Vista,CO,81211,08001,Sanitation Districts,Chaffee
"Buena Vista, Town of",www.buenavistaco.gov/,PO Box 2002,,Buena Vista,CO,81211,08002,Statutory Towns,Chaffee
Buffalo Creek Metropolitan District No. 1,,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,68207,Metropolitan Districts,Weld
Buffalo Creek Metropolitan District No. 2,,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,68208,Metropolitan Districts,Weld
Buffalo Creek Metropolitan District No. 3,,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,68209,Metropolitan Districts,Weld
Buffalo Creek Metropolitan District No. 4,,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,68210,Metropolitan Districts,Weld
Buffalo Creek Metropolitan District No. 5,,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,68211,Metropolitan Districts,Weld
Buffalo Creek Water District,,"44 Cook Street, Suite 620","c/o Cockrel Ela Glesne Greher & Ruhland, P.C.",Denver,CO,80206,30146,Water Districts,Jefferson
Buffalo Highlands Metropolitan District,www.buffalohighlandsmetro.org/,12210 Brighton Road #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,65101,Metropolitan Districts,Adams
Buffalo Highlands Metropolitan District No. 1,www.buffalohighlandsmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67931,Metropolitan Districts,Weld
Buffalo Highlands Metropolitan District No. 2,www.buffalohighlandsmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67932,Metropolitan Districts,Weld
Buffalo Highlands Metropolitan District No. 3,www.buffalohighlandsmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67933,Metropolitan Districts,Weld
Buffalo Mountain Metropolitan District,www.buffalomountainmd.gov/,PO Box 2430,,Silverthorne,CO,80498,59005,Metropolitan Districts,Summit
Buffalo RE-4 School District,merino.k12.co.us,PO Box 198,,Merino,CO,80741,64935,School Districts,"Washington, Morgan, Logan"
Buffalo Ridge Metropolitan District,www.buffaloridgemd.org/,"2001 16th Street, Ste. 1700",c/o CliftonLarsonAllen LLP ,Denver,CO,80202,01064,Metropolitan Districts,Adams
Buffalo Run Mesa Metropolitan District,www.brmmetro.org/,12210 Brighton Rd #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,65057,Metropolitan Districts,Adams
Burgundy Park Public Improvement District of Boulder County,,PO Box 471,c/o Boulder County,Boulder,CO,80306,66950,Public Improvement Districts (County),Boulder
Burlington Conservation District,,138 S 14th Street,,Burlington,CO,80807,64252,Conservation Districts (Soil),"Kit Carson, Yuma, Cheyenne"
Burlington Fire Protection District,,PO Box 501,,Burlington,CO,80807-0501,32002,Fire Protection Districts,Kit Carson
Burlington Housing Authority,,593 14th Street,,Burlington,CO,80807,32016,Housing Authorities (Municipal),Kit Carson
Burlington RE-6J School District,www.burlingtonk12.org,PO Box 369,,Burlington,CO,80807,64929,School Districts,"Kit Carson, Yuma"
"Burlington, City of",www.burlingtoncolo.com/,415 15th Street,,Burlington,CO,80807,32004,Home Rule Municipalities,Kit Carson
Busk-Ivanhoe Water System Authority,,PO Box 400,,Pueblo,CO,81002,67095,Intergovernmental Authorities (separate legal entity),"Lake, Pitkin"
Buttermilk Metropolitan District,buttermilkmd.specialdistrict.org,PO Box 4100,The Romero Group,Basalt,CO,81621,49034,Metropolitan Districts,Pitkin
Byers 32J School District,byers32j.k12.co.us,444 East Front Street,,Byers,CO,80103,64908,School Districts,"Adams, Arapahoe"
Byers Fire Protection District,byersfire.org,100 N. Main Street,,Byers,CO,80103-0085,64032,Fire Protection Districts,"Adams, Arapahoe, Elbert"
Byers Park & Recreation District,www.byersparkandrec.org,PO Box 115,,Byers,CO,80103,64170,Park & Recreation Districts,"Adams, Arapahoe"
Byers Peak Ranch Metropolitan District No. 1,www.byerspeakranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67989,Metropolitan Districts,Grand
Byers Peak Ranch Metropolitan District No. 2,www.byerspeakranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67990,Metropolitan Districts,Grand
Byers Peak Ranch Metropolitan District No. 3,www.byerspeakranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67991,Metropolitan Districts,Grand
Byers Peak Ranch Metropolitan District No. 4,www.byerspeakranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67992,Metropolitan Districts,Grand
Byers Peak Ranch Metropolitan District No. 5,www.byerspeakranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67993,Metropolitan Districts,Grand
Byers Peak Ranch Metropolitan District No. 6,www.byerspeakranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67994,Metropolitan Districts,Grand
Byers Peak Ranch Metropolitan District No. 7,www.byerspeakranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67995,Metropolitan Districts,Grand
Byers View Metropolitan District,www.byersviewmd.com,"1700 Lincoln Street, Ste. 2000",c/o Spencer Fane LLP,Denver,CO,80203,65420,Metropolitan Districts,Grand
Byers Vista Special Improvement District No. 1998-1,,PO Box 120,c/o Town of Fraser,Fraser,CO,80442,65864,"Special Improvement Districts (Municipal, Incl. Storm Sewer)",Grand
